title,company,location,description,link
Senior Data Analyst,Inkbox,"Toronto, ON"," Build dashboards and reporting to measure progress in key initiatives. 
 Partner with executives, product managers, engineers and marketers to provide data-driven recommendations, support with ad-hoc analysis, and ensure stakeholders are asking the right questions. 
 Manage and develop our data analytics pipeline. 
 Contribute to improving data culture. Develop and improve data processes and best practices. 
 Takes ownership and understands goals and objectives of supporting business partners, translating them into analytics requirements/frameworks 
 3+ years of professional working experience in Analytics 
 Strong proficiency with SQL-based languages, an ability to write and troubleshoot complex SQL queries. 
 Experience with data visualization tools (Tableau, Periscope, Looker, Data Studio, etc.) 
 Experience in analytical programming such as Python and R 
 Strong analytical problem-solving skills, able to transform data into business insights and actionable recommendations 
 Experience in A/B testing, designing and measuring experiments 
 Strong understanding of analytics and how to measure the non-obvious within the domains of user acquisition, product improvements/optimizations, and sales operations. Demonstrable ability to understand and link customer behaviours to business impact. 
 Ability to thrive in fast-paced work environments and manage and prioritize multiple projects. 
 Strong verbal and written communication skills. Ability to present complex information into understandable, comprehendible information with actionable recommendations 
 Deliver accurate, meaningful and timely information, based on well thought through research 
 Experience of working in / for an ecommerce organisation 
 Cross-device analytical experience (Mobile / Desktop / Tablet / App) 
 Experience using R or other stats packages 
 Strong knowledge of statistical methods and data / web analysis software 
 Google Tag Manager 
 Google BigQuery 
 ",https://www.indeed.com/rc/clk?jk=51c7ab755e093654&fccid=5824c66b4b60dad9&vjs=3
Data Scientist (Cloud technology) / Scientifique de données (infonuagique),Slalom Consulting,"Montréal, QC"," 
Tirer profit de votre connaissance concrète des méthodes statistiques et d’apprentissage automatique pour analyser et relever plusieurs défis commerciaux axés sur les données dans une multitude de contextes commerciaux. 
 
Améliorer les compétences et l’expertise au sein des activités, des modèles commerciaux et des processus commerciaux clés de nos clients afin de recommander des méthodes et approches liées à la science des données qui seront déployables et utilisables, et d’obtenir les résultats commerciaux souhaités. 
 
Mener efficacement des entrevues avec les intervenants des clients pour comprendre les heuristiques et en tirer les contextes commerciaux et de données appropriés pour toute solution que vous développez. 
 
Déterminer et synthétiser de nouveaux cas d’utilisations pour les clients pour utiliser leurs données et leurs méthodes de science des données afin de leur donner un avantage concurrentiel. 
 
Livrer des projets à l’aide de la méthodologie Slalom en matière de science des données, produire de la documentation sur ces projets et contribuer à éduquer les consultants. 
 
Produire et livrer des présentations sur les trouvailles et résultats des projets qui sont pertinents pour divers publics cibles techniques allant de vos pairs scientifiques des données aux dirigeants d’entreprise, dont les compétences en analytiques sont limitées. 
 
Encadrer et former vos clients et vos pairs au sujet des méthodes et pratiques exemplaires liées à la science des données. 
 
Étudier les méthodes, algorithmes, outils et cas d’utilisation d’apprentissage automatique émergents afin de garder vos connaissances à jour et chercher à les appliquer au profit de vos clients. 
 
Plus de trois ans d’expérience en conception et en développement d’applications liées à la science des données dans un contexte commercial réel, y compris des moteurs de classification, de prédiction, de regroupement et de segmentation, d’analyse du panier d’achats, d’exploration de texte et de modèle de sujet, et de recommandation, et bien d’autres. 
 
Expérience d’utilisation d’ensembles de logiciels statistiques et d’exploration de données (p. ex., Python - SciPy, NumPy, Pandas, SciKit-Learn, R, Alteryx, SPSS, SAS, etc.), et connaissance d’une variété d’algorithmes de modèles statistiques et d’apprentissage automatique ainsi que de leur application pratique. 
 
L’expérience en méthodes d’optimisation, en programmation linéaire et en d’autres formes de modèles mathématiques, ou la connaissance de base de ces concepts, est un atout. 
 
L’expérience en déploiement de modèles de prédiction en boucle fermée ou de processus d’affaires automatisés avec traitement ou en temps réel est un atout. 
 
Connaissance de base d’une variété de cadres d’apprentissage automatique et d’architectures informatiques distribuées (p. ex., Spark et Hadoop). 
 
L’expérience avec Databricks et/ou Snowflake est un atout. 
 
L’expérience en l’application de méthodes de réflexions sur la conception/l’expérience liées à la science des données est un atout. 
 
Capacité de clarifier des situations ambiguës et d’expliquer des concepts abstraits aux intervenants de tous les niveaux. 
 
Diplôme supérieur en STIM (une maîtrise est un atout important). 
 
Le candidat doit être titulaire d’une certification en AWS, en Azure ou en GCP. 
 
Leverage your applied knowledge of statistical and machine learning methods to analyze and solve for a variety of data-centric business challenges across a diverse set of industry contexts. 
 
Build competency and expertise within our client’s industry, business model and key business processes in order to prescribe data science methods and approaches that will be deployable and usable, and drive the desired business outcomes. 
 
Effectively conduct interviews with client stakeholders to understand heuristics and to derive the proper business and data contexts for any solutions that you develop. 
 
Identify and synthesize new use cases for clients to use their data and data science methods to create a competitive advantage. 
 
Deliver projects using the Slalom methodology for data science, produce detailed project documentation and contribute to the consulting knowledge base. 
 
Produce and deliver presentations on project findings and results that are suitable for a variety of technical audiences from peer data scientists, to business executives with limited analytical skills. 
 
Mentor and educate clients and peers on data science methods and best practices. 
 
Research and remain up to date on emerging machine learning methods, algorithms, tools and use cases, and seek to apply them to your clients’ benefit. 
 
3+ years designing and building data science applications in a real-world business context, including classification, prediction, clustering and segmentation, market basket analysis, text mining and topic modeling, recommendation engines and many others. 
 
Hands-on experience with statistical and data mining software packages (e.g. Python - SciPy, NumPy, Pandas, SciKit-Learn, R, Alteryx, SPSS, SAS, etc.) and a knowledge of a variety of statistical modeling and machine learning algorithms as well as their practical application. 
 
Experience or exposure to optimization methods, linear programming and other forms of mathematical modeling is a plus. 
 
Experience deploying predictive models into closed-loop or automated business with process or in a real-time context is a plus. 
 
Exposure to a variety of machine learning frameworks and distributed computing architectures (e.g. Spark, Hadoop) 
 
Experience with Databricks and/or Snowflake an asset 
 
Experience in applying design thinking / experience design methods for data science is a plus. 
 
Ability to bring clarity to ambiguous situations and explain abstract concepts to all levels of stakeholders. 
 
An advanced STEM degree, Masters degree is preferred. 
 
Must be certified in either AWS, Azure or GCP 
 ",https://www.indeed.com/rc/clk?jk=a788ac66002178ed&fccid=a321096b9f1b3c50&vjs=3
Senior Business Intelligence Analyst,BMW Group Financial Services Canada,"Toronto, ON"," Support business initiatives and decision making with data analysis and modelling; expectations to gain input, support and alignment with all organizational departments, including but not limited to Sales, Finance and Risk.
 
 Develop end-to-end data solutions, from gathering requirements from business stakeholders to partnering with technology teams and other analysts to build user-friendly reporting dashboards in Tableau.
 
 Support initiatives to promote a Data-Driven culture; act as a Data Ambassador to increase awareness and reduce barriers through simplification and automation.
 
 Define, create, and maintain new and existing business KPIs from scratch, leveraging SQL queries.
 
 Build, develop and maintain inter-departmental data models, reporting systems, data automation systems, dashboards and performance metrics that support answers to complex business questions.
 
 Build and manage relationships across the organization in order to support the development of cross-functional solutions and/or to assess the upstream/downstream effects of different business decisions.
 
 Support data governance initiatives through maintaining accurate and adequate metadata records, managing data access and security models as well as adhering to changes in Local, Group and External policies/regulations.
 
 Research new or leverage existing methods to determine the most appropriate, accurate and efficient techniques for modelling and analysis. Responsible to clearly present and articulate position across all levels of the organization, including Executive Management.
 
 Responsible to extract, transform, cleanse, and manage data for modeling/analytical purposes.
 
 Actively collaborate with local/regional IT teams to ensure we have scalable ETLs and warehouse data models in place.
 
 Use advanced data modeling, predictive modeling and analytical techniques to interpret key findings from company data and leverage these insights into initiatives that will support business outcomes


Specific responsibilities include:

Sales and Pricing Analytics
Customer Data & Loyalty Analytics
Portfolio Performance Analysis
Market Intelligence Analysis
Dealer Performance Reporting
KPI Reporting
Business AI modelling
Proposals for tactical and strategic business changes 
 Sales and Pricing Analytics
 
 Customer Data & Loyalty Analytics
 
 Portfolio Performance Analysis
 
 Market Intelligence Analysis
 
 Dealer Performance Reporting
 
 KPI Reporting
 
 Business AI modelling
 
 Proposals for tactical and strategic business changes 
 University Degree required; Computer or Data Science, Statistical Analysis, Math, IT
 
 3 years of data analytics work experience (ETL, monitoring, managing, manipulating and drawing insights from data)
 
 Financial Services or automotive industry experience is strongly preferred
 
 Independent & self-motivated, results driven and strong attention to detail
 
 Advanced SQL querying skills; r and Python an asset
 
 Advanced computer skills in all Microsoft Office applications, including Excel, Access & VBA
 
 Expert level experience with data visualization tools, specifically Tableau, Excel
 
 Strong problem solving, quantitative and analytical abilities
 
 Experience using analytics techniques to contribute to company growth efforts, increasing profitability and other key business outcomes
 
 Experience working with and creating databases and dashboards using all relevant data to make decisions; strong ability in relational databasing and developing inter-related data sets
 
 Working knowledge of data mining principles (predictive analytics, collecting data from multiple data systems); experience with related tools (e.g. Rapidminer) is considered an asset
 
 Understanding of and experience using analytical concepts and statistical techniques to draw conclusions and develop actionable recommendations for the business
 
 Well-developed communication, collaboration, interpersonal and leadership skills with an ability to build and maintain effective relationships
 
 ",https://www.indeed.com/rc/clk?jk=96ada49b348b188d&fccid=145f77b9f76cf553&vjs=3
"Director, Advanced Analytics",St. Michael's Hospital,"Toronto, ON"," Plan and oversee all project proposals for the DSAA Advanced Analytics team conforming to the CRISP-DM framework 
 
Develop and oversee standard operating procedures (SOPs) that adhere to best practices in data science 
 
Provide strategic input to the development and implementation of DSAA strategic plans and is responsible for ensuring that the work of the Advanced Analytics team will support and improve productivity and efficiency of UHT clinical and business operations; 
 
Contribute to and facilitate the implementation of corporate/strategic objectives and DSAA-specific objectives through the development of long-range strategies and courses of action to ensure that advanced analytics solutions are in place for successful realization of corporate strategic direction for UHT; 
 
Establish standards and procedures for data science systems and have oversight for the development/implementation of strategic initiatives relating advanced analytics across UHT; 
 
Work with the VP of DSAA to develop relevant advanced analytics strategies to meet current and future business needs in a cost effective manner; 
 
Develop and maintains working knowledge of all relevant data science applications and the supporting integrated tools and processes; 
 
Responsible for the support of all data science applications, integrated tools/processes, security, performance monitoring, change management, and process adjustments during implementation; 
 
Provides vision and plan to the team by drawing on the understanding of corporate business and clinical objectives, available technology functionality, business impact and departmental resource capacity; 
 
Responsible for ensuring that the system operating parameters and security features are consistent with UHT standards; 
 
Responsible for creating and maintaining models for training, validation, testing, integrated reconciliations and data integrity maintenance; 
 
Develop and maintain strong relationships with clinical and management leadership stakeholders; 
 
Manage the data science systems reporting requirements. Ensures appropriate reporting models are developed, maintained and modified to ensure accurate and timely delivery of reporting information; 
 
Review and provide input to the analysis, design, development and maintenance of the multi-tiered applications and the integration of third-party solutions throughout the entire system; 
 
Provides project oversight for departmental system-wide advanced analytics projects requiring statistical models, feasibility studies, code development, implementation, maintenance, process/procedure development and planning; 
 
Accountable for fostering an environment that encourages innovation, continuous improvement and growth; 
 
Planning and coordination of activities originating from the Advanced Analytics Innovation Hub 
 
Serve as the operational leader for the Advanced Analytics team; 
 
Ensure that the team possesses the required technical competence to ensure fully functioning statistical models; 
 
Works collaboratively with all stakeholders to assist in the development of DSAA strategic plans; 
 
Direct the development and implementation of policies, regulations and programs that support the coordination and growth of progressive, efficient and cost-effective advanced analytics services. 
 
Ensure continuous quality improvement of service provision and activities, including implementing quality improvement processes to further enhance service/products provided by the department 
 
Advocate change and educates managers and employees on the need for up-to-date information technology, staff and equipment to assist the organization in achieving its goals. 
 
Establish, organize and implement strategies within the portfolio and is responsible for the operations of its departments as well as the effective use of its resources (budget, staffing, etc). 
 
Ensures financial and planning processes are appropriately linked to projects, service delivery and other visible department outputs which provide value to clients, while identifying opportunities for cost savings and revenue generation; 
 
Masters degree in Statistics, Computer Science, Operations Research Engineering required. 
 
Minimum five (5) years’ experience working in a data science environment; 
 
Five (5) plus years’ experience using project management tools and methodologies; 
 
Proficient in data science tools such as R and Python; 
 
Extensive experience developing project plans to meet business objectives; 
 
Extensive experience developing and managing project budgets; 
 
Demonstrated experience building and developing highly effective teams; 
 
Demonstrated experience improving and automating business processes through the application of technology; 
 
Proficient in the use of Microsoft Office Products: Word, PowerPoint, and Excel; 
 
Aptitude to develop detail business, application, integrated tool/process knowledge; 
 
Self-directed to continuously update knowledge as business and system changes occur; 
 
Has initiative to proactively drive business and system process improvements; 
 
Highly analytical so as to be able to identify gaps or address issues/pain points. Must be able to visualize, articulate, conceptualize and/or solve problems; 
 
Ability to communicate to all levels of stakeholders both written and orally; 
 
Must be able to adapt to various situations/people. Works well with other team members and stakeholders. Ability to build and maintain strong working relationships; 
 
Time management and prioritization - need to be able to work on many issues and tasks with different deadlines. Must be able to work independently and under pressure with tight deadlines. 
 ",https://www.indeed.com/rc/clk?jk=6eb04f42d21491ba&fccid=8e32d72489a91f47&vjs=3
Machine Learning & Signal Processing Specialist,TandemLaunch,"Montréal, QCTemporarily remote"," Machine learning (e.g., DNN, CNN, RNN, GAN, LSTM and SVM, KNN, Naive Bayes.) 
 Deep learning frameworks (e.g., PyTorch, TensorFlow, Keras, Scikit) 
 Advanced digital signal processing with experience in biosignal analysis 
 High-level programming skills in Python, Matlab, C, C++, Java, etc. 
 Fourier transforms, discrete signals, and filter design 
 Time series data analysis 
 Statistical methods such as Bayesian statistics and statistical inference 
 Advanced acoustics including techniques such as sound source separation, speech enhancement, noise reduction and cancellation, etc. 
 Feature engineering and dimensionality reduction 
 Brain-computer interface and neuroscience 
 Experience with firmware development of ARM based 32 bit microcontrollers 
 Knowledge of using cloud platforms 
 Github 
 ",https://www.indeed.com/rc/clk?jk=1dee791553c7ade6&fccid=4a7bc3ecb9b00d36&vjs=3
"Deep Learning and Embedded Software Engineer, Entry Level",NXP Semiconductors,"Kanata, ON"," Evaluating state of the art deep learning and autonomous drive algorithms from perception to planning.
 
 Algorithm analysis, prototyping, optimization and benchmark.
 
 Embedded software development for applications, demos, and algorithms.
 
 Parallel programming framework and compiler toolchain use and development.
 
 Experience in programming with C/C++.
 
 Working knowledge of operating systems concepts such as memory management and multi-tasking.
 
 Good oral and written communication skills.
 
 Attention to detail, self-motivated and the ability to be a team player while working independently.
 
 Basic understanding of image processing and computer vision algorithms. Prior experience working with OpenCV, or math libraries like Eigen, or Matlab.
 
 Understanding of parallel programming languages and frameworks, CUDA, OpenCL.
 
 Prior experience with Deep Learning framework, training, or optimization.
 
 Experience developing software on embedded systems with an HLOS, cross-compilation.
 
 Working knowledge with scripting languages like Python, Tcl, Perl.
 
 ",https://www.indeed.com/rc/clk?jk=65e1eea137b788a9&fccid=d113f5fdf3e1cb7b&vjs=3
Machine Learning Engineer II - Ads,"AMZN CAN Fulfillment Svcs, ULC","Toronto, ON"," 2+ years of non-internship professional software development experience 
 Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design 
 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems. 
 Bachelor's degree in Computer Science or related disciplines 
 5+ years industry experience in software development 
 Experience in building large-scale machine-learning infrastructure for online recommendation, ads ranking, personalization, or search, etc. 
 Experience with Big Data technologies such as AWS, Hadoop, Spark, Pig, Hive, Lucene/SOLR or Storm/Samza 
 Strong proficiency with Java, Python, Scala or C++ 
 Coursework or thesis in machine learning, data mining, information retrieval, statistics or natural language processing 
 Advanced knowledge of performance, scalability, enterprise system architecture, and engineering best practices 
 ",https://www.indeed.com/rc/clk?jk=2151786b6cd45c00&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,MobSquad,"Calgary, AB"," MobSquad solves the significant and growing technology talent shortage faced by US-based start-ups and scale-ups by enabling our clients to quickly have a turnkey ""virtual"" Canadian subsidiary, where Canadian-based technology professionals work with our clients individually on an exclusive basis 
 We've been featured on the front page of The Washington Post, on NPR multiple times, The Financial Times (UK), The Globe and Mail, the Calgary Herald, BetaKit, CBC, Global News, and many other places. other media outlets 
 We're a Certified B Corporation, were recognized as the third Best Place to Work in Canada in 2020, and have made numerous contributions to charitable organizations as well as a financial commitment to the Upside Foundation. We believe we are playing a key role in enhancing Canada's innovation economy, and have received financial support from the Government of Canada, Province of Alberta, Province of Nova Scotia, and City of Calgary, to support this ambition 
 You can learn more about us on our website 
 You have an advanced degree (M.S. or PhD) in Data Science, Computer Science, Engineering, or a comparable analytical field from an accredited institution 
 You are expert in data mining, machine learning, deep learning, statistical modeling, and data visualization techniques using data-oriented tools and languages such as Python, R, and MATLAB 
 You have over three years of experience or demonstrated fluency in relevant programming languages (Python, R, Scala, Java, C/C++, C#) 
 You have over three years of experience working with SQL (MySQL, SQL Server) as well as NoSQL (Cassandra, Hbase) databases 
 You have experience setting up and using large-scale distributed data-processing frameworks such as Apache Spark and Hadoop MapReduce 
 You have experience working with enterprise-grade cloud computing platforms such as Microsoft Azure, Amazon Web Services, or Google Cloud 
 You have demonstrated ability to develop high-quality code adhering to industry best practices (e.g., code review, unit testing, revision control) 
 You are familiar with designing experiments and collecting data for the purpose of deriving data analytics insights and solutions 
 You have experiencing creating and deploying recommendation and/or predictive models 
 You have work/project history reflective of a self-motivated professional who excels when given open-ended problems and broadly-defined goals, having an innate desire to discover the patterns and relationships in data that can be leveraged to provide business value 
 A full-time position that offers competitive compensation 
 A benefits program delivered through our bespoke digital platform, giving you control, choice, and flexibility. We give you the ability to build your package of benefits covering health (e.g., medical, dental, vision), wellness (e.g., gym, workout gear, massage, transit), and RRSP (retirement savings) 
 A downtown office location with first-rate amenities, surrounded by great restaurants and easily-accessible transit 
 For international candidates, sponsorship for an immediate work permit, expedited permanent residency, and Canadian citizenship within four years 
 ",https://www.indeed.com/rc/clk?jk=5bdab81d0a23dccd&fccid=e140fb6d05504c9a&vjs=3
SR. SOFTWARE DEVELOPMENT ENGINEER: MACHINE LEARNING,The Globe and Mail,"Toronto, ON"," Build various data pipelines and APIs to support different features and products 
 Develop high-quality software and architecture and optimize the solution iteratively 
 Build commercialized products leveraging the software development life cycle to identify, prioritize and execute tasks 
 Ensure software is up-to-date with latest technologies 
 Document development phases and monitor systems 
 Peer review and experience with mentoring junior engineers 
 Work and collaborate with other PhD data scientists on the team to share knowledge, reconcile the process and modularize work 
 Degree in Computer Science or Software Engineering or any relevant background required 
 2~4 years of experience in software development or data engineering 
 1~2 years of hands-on experience in Amazon Web Services including Lambda, ECS/Fargate, Kinesis, DynamoDB 
 Proficient and hands on with at least one programming language, prefer Python/Java 
 Familiar with test driven development methodologies 
 Familiar with cloud architecture and security 
 Familiar with docker container technology 
 Prior experience working with customer focused data preferred 
 Nice to have: Infrastructure as code experience, such as Terraform or CloudFormation 
 Nice to have: Strong business acumen and big picture thinker with a genuine curiosity for cutting edge technology 
 High level of personal accountability, self-motivated 
 Comfortable taking on new challenges with a high willingness to learn 
 ",https://www.indeed.com/rc/clk?jk=184455d52092aea8&fccid=2c209e080b2e73f5&vjs=3
Data Scientist,Lightspark,"Vancouver, BC"," Selecting features, building and optimizing classifiers using machine learning techniques 
 Data mining and statistical analysis using state-of-the-art methods 
 Extending company’s data with third party sources of information when needed 
 Enhancing data collection procedures to include information that is relevant for building analytic systems 
 Processing, cleansing, and verifying the integrity of data used for analysis 
 Doing ad-hoc analysis and presenting results in a clear manner 
 Creating automated anomaly detection systems and constant tracking of its performance 
 Excellent understanding of machine learning techniques and algorithms 
 Interest in climate change, energy efficiency and desirable that you have experience in energy and building modelling 
 Experience with common data science toolkits, such as Python, Weka, NumPy, MatLab, R, etc. Excellence in at least one of these is highly desirable 
 Great communication skills and ability to present information to management team in a way that explains concepts and thinking 
 Experience with Saas software development 
 Experience with data visualisation tools, such as D3.js, GGplot, etc. 
 Proficiency in using query languages such as SQL, Hive, Pig 
 Experience with PostgresSQL, spatial objects and experience with Redis, Amazon Web Services is required 
 Good applied statistics skills, such as distributions, statistical testing, regression, etc. 
 Good scripting and programming skills a bonus, including Node JS, Javascript, GraphQL, React, Ruby on Rails and PHP 
 Data-oriented personality 
 ",https://www.indeed.com/rc/clk?jk=1d9e179320a6422a&fccid=06926f09c00964a3&vjs=3
Sr. Machine Learning Consultant (with R track),Arocom Inc.,"Toronto, ONRemote"," A post-grad or grad certificate with specialization in computer science or other engineering program 
 Fundamental knowledge of supervised and unsupervised Machine Learning 
 Advanced programming skills in R language is mandatory 
 Knowledge of pharmaceutical/life sciences/drug discovery industry is an asset 
 Capability to adapt in fast changing environment and eager to learn 
 Hands-on experience in Unix/Linux, and statistical approaches to analyze and visualize data sets 
 Preferred but not required is knowledge and expertise in the genetics and epigenetics and expertise using tools for analyzing next-generation sequencing data 
 Experience working in cross-functional teams with the agility to learn new software applications and technologies 
 Proven ability to comprehend, analyze and research problems of a complex nature, make decisions and/or present recommendations 
 Candidates must be highly motivated, possess excellent organizational, problem-solving and communication skills (both verbal and written) 
 Preference for fast paced, rapid start-up culture demonstrating the values of results, teamwork, energy, agility, respect, and can-do environment 
 Develops production-ready codes in R 
 Prototype, simulate and benchmark accuracy of algorithms 
 Develop customized algorithms required by specifications of each project 
 Works with main stakeholders including but not limited to: Data Scientists, Academicians, Management, Project Managers and Consulting Teams 
 Machine Learning: 4 years (Required) 
 LifeSciences Domain: 3 years (Preferred) 
 Unix/Linux: 3 years (Required) 
 Bachelor's Degree (Required) 
 Machine Learning (Preferred) 
 R (Preferred) 
 Yes 
 ",https://www.indeed.com/company/Arocom-Inc./jobs/Senior-Machine-Learning-Consultant-f540fc60bdb34de5?fccid=60959817403d3a0d&vjs=3
Supply Chain Analytics Intern (Jan 2021),Johnson & Johnson Family of Companies,"Markham, ON"," Must ave completed two years of undergraduate studies towards a Bachelors degree in Engineering, Computer Science, Mathematics or Business 
 Must be legally authorized to work in Canada 
 Available to work full time (37.5 hrs./wk.) during the Co-op term. 
 Must possess excellent analytical, quantitative, and conceptualization skills and be proficient with tools such as Excel, Access 
 Prior experience in dashboard development with data ETL (Tableau, Power BI, Alteryx) 
 Must have interest and aptitude for working with big data, data science and machine learning 
 Very strong interpersonal skills and a collaborative style, able to work with multiple partners simultaneously and influence them. 
 Ability to handle multiple projects and initiatives to meet due dates. 
 Organized self-starter with the ability to work independently within a sophisticated, fast-paced environment. 
 Strong proficiency in written and oral English. 
 Experience working with databases (AWS, Azure) / SQL knowledge 
 Experience with project management and Six Sigma / Lean methodology 
 ",https://www.indeed.com/rc/clk?jk=3f3a5b089ee4e0da&fccid=0bed8e17bc113980&vjs=3
Senior Machine Learning Engineer,ProData Consult,"Copenhagen, ON"," ML (Machine Learning) Engineering
 
 DevOps
 
 AWS
 
 AWS Sagemaker
 
 Databricks
 
 Data Science
 
 Agile Development Methodologies
 
 CI/CD
 
 ",https://www.indeed.com/rc/clk?jk=62403245a1828031&fccid=fa336ade0bd80ccd&vjs=3
Principal Software Developer - Machine Learning,Oracle,"Kitchener, ON"," Architecting, developing, and maintaining the ML implementations and support systems behind Intelligence features 
 Defining best practices for code, APIs, and frameworks that will lay the foundation for enhanced features 
 Proposing appropriate tools (languages/libraries/frameworks) for implementing projects 
 Keeping up with best practices and being a continual learner 
 Working closely with Infrastructure architects to design scalable and cost-effective solutions 
 Mentoring less experienced developers 
 Working with local and remote teams to accomplish their intelligent feature goals 
 Working side-by-side with cross-functional teams in their agile environment 
 Identifying opportunities to improve and enhance our customers experience with our software 
 Following Deployment and QA processes and best practices 
 Practicing agile, clean software development 
 Strong software architecture understanding 
 Desire to delight the customer by taking initiative, responsibility, and ownership of projects 
 Strong focus on quality software engineering 
 Enjoys learning new projects and codebases 
 Strong understanding of distributed architectures is a bonus 
 Ability to have fun! 
 Healthy breakfast options every morning. 
 Opportunities for subsidized career and skills growth. 
 Access to a virtual library of training material (O’Reilly Learning, Lynda.com, Oracle Learning, …) 
 Oracle equity in the form of stock options and RSUs. 
 RRSP contribution matching up to 6% of annual salary. 
 Working in an Agile environment. 
 Board games, card games, video games, and donuts. 
 Computer science or engineering degree (bachelor or above) or equivalent experience 
 Demonstrated recent experience with Machine Learning 
 7+ years software development experience 
 Experience with Java, Python, C++ and Web technologies 
 Working knowledge of Kubernetes 
 Intimate and working understanding of modern API applications from database to endpoints 
 Proficient communicator in both technical and non-technical contexts 
 Skills to debug and understand large Java and SQL code base 
 Strength and comfort in Unix systems 
 ",https://www.indeed.com/rc/clk?jk=2bca526a5e983656&fccid=cd22d01053af7669&vjs=3
Associate Professor / Professor - Data Science Computation,University of Toronto,"Toronto, ON", ,https://www.indeed.com/rc/clk?jk=d577e4fc0c189ddb&fccid=986361104086c3ae&vjs=3
Senior Machine Learning Engineer - Geo-Analytics,TELUS,"Montréal, QC"," Construct, validate, test and deploy AI models. 
 Collaborate on end-to-end automation efforts required to bring models to production. 
 Work with structured and unstructured raw data to design and develop innovative predictive models, metrics, and dashboards to uncover actionable insights. 
 Visualize and report data findings creatively in a variety of visual formats that provides insights to the organization. 
 Influence how we approach business challenges and opportunities by driving the adoption of a data driven mindset. 
 Develop re-usable code aimed at delivering on future goals faster and more reliably 
 You are recognized for addressing business needs via your application of data mining, predictive modeling, statistics and other analytical techniques. 
 You are sought out for your skills in Machine Learning (supervised and unsupervised), classification, clustering, segmentation, time series analysis, forecasting and optimization. 
 You have solid development experience with Python and you are comfortable using various data science libraries such as Scikit-learn, Panda, Numpy and TensorFlow/Pytorch/Keras.
 
 You are well versed in software and AI development lifecycles. 
 You are the go-to person for understanding data warehouses/Hadoop architectures and ETL processes. 
 Post graduate education in Artificial Intelligence, Cloud Dev/Ops or Advanced Analytics. 
 GCP certification 
 ",https://www.indeed.com/rc/clk?jk=2b7edb160b72d2d6&fccid=4512634d9e7338a8&vjs=3
"Machine Learning Engineer, Content Intelligence Team (Data Engineering)",LogMeIn,"Montréal, QC"," Function as a productive, developing/mid-level Data Engineering-focused Machine Learning Engineer on our Content Intelligence Team
 
 Work under the guidance of senior team members to help develop ETL/data pipelines, feature stores for training ML models, dashboards, POCs, etc.
 
 Document system designs, specifications, work requirements, architectures, etc.
 
 Learn and expand your professional skills and knowledge in order to help build, optimize, monitor and refine the performance of new and existing ML models and systems for training and inference
 
 Collaborate with global teams of Data Scientists, Machine Learning Engineers, Product Managers, etc.
 
 Communicate and translate results to peers, leaders and other business stakeholders
 
 Development skills with Python and associated Python Web Frameworks, (e.g. Flask, FastAPI, Django-web, etc.) is required; experience with ML Libraries and tools such as NumPy, Scikit-learn, Spacy, DataFrame and Jupyter Notebooks is desired
 
 Understanding and experience in Big Data Engineering concepts and processes, (e.g. data stores, structured and unstructured data, SQL Query, ETL/data pipelines, data cleansing, Hadoop framework, etc.)
 
 Experience building products and/or services that require high-performance and scalability; especially, RESTful web services utilizing AWS or Google Cloud
 
 General understanding of building Machine Learning-driven products, (Inc. ML Frameworks, Libraries and Tools such as PyTorch, TensorFlow, Caffe, NumPy, Scikit-learn, Spacy, DataFrame and Jupyter Notebooks; along with, Classification, Natural Language Process, data visualization etc.)
 
 Knowledge of software engineering best practices; including, Agile, coding standards, code reviews, source management, build processes, testing and operations
 
 A desire to learn and expand your professional Machine Learning skills and knowledge is essential; coachability is critical in this role
 
 Ability to clearly communicate in English, (Inc. verbal and written language skills)
 
 ",https://www.indeed.com/rc/clk?jk=c71509dd884f62cb&fccid=b665f01429fa556c&vjs=3
